id,post_message,link_title,affluence_index,likes,comments,shares,link,muslim_prop,male_prop,age_index
26781952138_10155570963892139,"TOI Afternoon Newswrap

* 'Terror' gallery on Punjab CM Amarinder Singh's turf...and more",Video news: All in one minute @ 2pm,-0.22,51,14,0,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-6-2017/video-news-all-in-one-minute-2pm/videoshow/59471273.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,17.95%,86.96%,0.44
26781952138_10155570965692139,Islamabad is also sitting on a request for a visa to Jadhav's mother for travelling to Pakistan.,Kulbhushan Jadhav’s plea of mercy now with army chief: Pakistan,-0.02,100,21,2,http://timesofindia.indiatimes.com/india/kulbhushan-jadhavs-plea-of-mercy-now-with-army-chief-pakistan/articleshow/59624181.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.78%,83.91%,0.38
26781952138_10155571043397139,,Video news: All in one minute @ 6pm,0.15,68,7,1,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-8-2017/video-news-all-in-one-minute-6pm/videoshow/59504418.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,26.42%,85.71%,0.40
26781952138_10155571054007139,,"Video: TruJet denies ticket to TDP MP Diwakar Reddy, apologises later and issues ticket to him",0.20,79,0,0,http://timesofindia.indiatimes.com/videos/city/hyderabad/trujet-denies-ticket-to-tdp-mp-diwakar-reddy-apologises-later-and-issues-ticket-to-him/videoshow/59515377.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,15.38%,86.89%,0.44
26781952138_10155571060547139,The complainant later refused to acknowledge the incident,3 transgenders acquitted in attempt to murder case,0.22,81,1,5,http://timesofindia.indiatimes.com/city/delhi/3-transgenders-acquitted-in-attempt-to-murder-case/articleshow/59515125.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,20.29%,78.79%,0.34
26781952138_10155571088782139,"If you are planning to change your gym routine and looking for a perky workout to get a bubbly fanny, you may want to try this.",Women are trying this gym hack to get extra curvy butt - Times of India,0.23,70,9,3,http://timesofindia.indiatimes.com/life-style/health-fitness/fitness/women-are-trying-this-gym-hack-to-get-extra-curvy-butt/articleshow/59382961.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,28.33%,79.37%,0.39
26781952138_10155571092982139,"The traders, who allegedly suffered losses in crores, refused to open shops without compensation and security assurance","After tribals, Raiganj traders hit the streets",0.32,56,2,2,http://timesofindia.indiatimes.com/city/kolkata/after-tribals-raiganj-traders-hit-the-streets/articleshow/59613957.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.89%,77.50%,0.42
26781952138_10155571096672139,These celebrities made headlines with sexual assault cases...,12 celebrities who were embroiled in sexual harassment and assault cases :::Misskyra,0.37,58,4,1,http://www.misskyra.com/celebs/celebrities-who-were-embroiled-in-sexual-harassment-and-assault-cases/photostory/59579116.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.55%,92.59%,0.39
26781952138_10155571124642139,"There was ""clear-cut evidence"" against the accused, the court observed","Bilkis Bano case: Supreme Court dismisses appeals of 4 cops, 2 doctors",0.38,145,14,19,http://timesofindia.indiatimes.com/india/bilkis-bano-case-supreme-court-dismisses-appeals-of-4-cops-2-doctors/articleshow/59529129.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,32.59%,85.38%,0.40
26781952138_10155571131307139,Sonam Kapoor clarified that if she gets married or engaged she’ll announce it on her own.,Sonam Kapoor rubbishes speculative reports of her engagement,0.44,70,1,1,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sonam-kapoor-rubbishes-speculative-reports-of-her-engagement/articleshow/59579867.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,30.16%,86.15%,0.37
26781952138_10155571132842139,Gorkhaland proponents have decided to take their agitation to Delhi from August,GJM man killed in clash; ninth Darjeeling death since June,0.45,72,3,1,http://timesofindia.indiatimes.com/india/gjm-man-killed-in-clash-ninth-darjeeling-death-since-june/articleshow/59657933.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.00%,86.15%,0.38
26781952138_10155571133727139,,Video: GJM supporters take out protest rally wearing traditional costumes,0.45,110,13,3,http://timesofindia.indiatimes.com/videos/city/kolkata/gjm-supporters-take-out-protest-rally-wearing-traditional-costumes/videoshow/59485877.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.13%,82.56%,0.41
26781952138_10155571134907139,,Video: Ismailis celebrate 60th year of Aga Khan's imamat in Mumbai,0.47,172,15,16,http://timesofindia.indiatimes.com/videos/city/mumbai/ismailis-celebrate-60th-year-of-aga-khans-imamat-in-mumbai/videoshow/59559340.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,34.16%,77.91%,0.40
26781952138_10155571136382139,,Video: Patients evacuated safely after fire breaks out at Lucknow hospital,0.51,87,2,1,http://timesofindia.indiatimes.com/videos/city/lucknow/patients-evacuated-safely-after-fire-breaks-out-at-lucknow-hospital/videoshow/59615768.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.27%,68.18%,0.38
26781952138_10155571137797139,,"Video: Woman complains of poor quality of rice in Telangana CM's meet, cops escort her out",0.51,77,4,1,http://timesofindia.indiatimes.com/videos/city/hyderabad/woman-complains-of-poor-quality-of-rice-in-telangana-cms-meet-cops-escort-her-out/videoshow/59575450.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,25.00%,75.00%,0.40
26781952138_10155571211242139,,Video: Helmet cam video of cycling accident goes viral,0.52,86,0,4,http://timesofindia.indiatimes.com/videos/news/helmet-cam-video-of-cycling-accident-goes-viral/videoshow/59571836.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.67%,89.47%,0.39
26781952138_10155571218032139,"No other court would entertain a plea challenging a lower court's order while a trial is pending,' said SC.",Supreme Court dismisses Jindal plea on challenging trial court order,0.53,104,3,4,http://timesofindia.indiatimes.com/india/supreme-court-dismisses-jindal-plea-on-challenging-trial-court-order/articleshow/59573638.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.02%,86.17%,0.39
26781952138_10155571283347139,"On the face of it, the current rally in the market looks well spread out.",Sensex at new high again: What is driving the rally?,0.53,74,0,3,http://timesofindia.indiatimes.com/business/india-business/sensex-at-new-high-again-what-is-driving-the-rally/articleshow/59552196.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,8.33%,76.56%,0.39
26781952138_10155571401972139,"According to media reports, Lizeth was in her father’s butchery when a man walked in and opened fire at her.",Renowned Mexican model Lizeth Portillo Rodríguez shot dead,0.56,132,2,4,http://photogallery.indiatimes.com/fashion/foreign-models/renowned-mexican-model-shot-dead/articleshow/59575371.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.87%,80.51%,0.41
26781952138_10155571824387139,BollywoodBuzz: SS Rajamouli regrets talking about Sridevi rejecting 'Baahubali'...and more,BollywoodBuzz: SS Rajamouli regrets talking about Sridevi rejecting 'Baahubali'...and more,0.56,118,2,1,http://timesofindia.indiatimes.com/videos/entertainment/hindi/BollywoodBuzz-SS-Rajamouli-regrets-talking-about-Sridevi-rejecting-Baahubali-and-more/videoshow/59554716.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,7.84%,74.75%,0.39
26781952138_10155571835237139,The former TERI (The Energy and Resources Institute) chief R K Pachauri has been accused of sexually harassing his ex-colleague,Court exempts Pachauri from appearance on medical grounds,0.62,52,0,3,http://timesofindia.indiatimes.com/india/court-exempts-pachauri-from-appearance-on-medical-grounds/articleshow/59596056.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.28%,85.37%,0.42
26781952138_10155572601112139,The Army said all ceasefire violations have been initiated by the Pakistani army,"1 jawan, 9-year-old girl killed in Pakistan's ceasefire violation at LoC",0.63,481,102,14,http://timesofindia.indiatimes.com/india/1-jawan-9-year-old-girl-killed-in-pakistans-ceasefire-violation-at-loc/articleshow/59629257.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,25.00%,90.00%,0.42
26781952138_10155572701447139,"SIPs shouldn't make investors adopt a “fill it, shut it, forget it“ approach.",Why you shouldn't stop SIPs,0.64,53,2,4,http://timesofindia.indiatimes.com/business/india-business/why-you-shouldnt-stop-sips/articleshow/59521204.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,11.90%,79.07%,0.40
26781952138_10155572745412139,The court recognised that there was no attempt to revive vends except those in city limits.,SC dilutes booze sale ban along highways within municipal limits,0.65,77,2,0,http://timesofindia.indiatimes.com/india/sc-dilutes-booze-sale-ban-along-highways-within-municipal-limits/articleshow/59552468.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.81%,80.82%,0.39
26781952138_10155572858072139,"#ICYMI | A deadly plastic explosive, Pentaerythritol tetranitrate (PETN), was smuggled inside the Uttar Pradesh assembly.",NIA to probe smuggling of explosive into UP assembly,0.66,78,3,4,http://timesofindia.indiatimes.com/india/major-security-breach-in-up-explosive-smuggled-into-assembly/articleshow/59603110.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,21.74%,86.15%,0.42
26781952138_10155572867812139,"TOI Morning Newswrap

* 4 labourers die after inhaling toxic gas in tank in Delhi's Ghitorni...and more",Video news: All in one minute @ 10am,0.66,74,4,0,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-16-2017/video-news-all-in-one-minute-10am/videoshow/59615828.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,22.58%,88.89%,0.36
26781952138_10155572868037139,,Security video shows deadly brawl in Greece,0.69,82,2,0,http://timesofindia.indiatimes.com/videos/news/security-video-shows-deadly-brawl-in-greece/videoshow/59571957.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,19.23%,92.41%,0.37
26781952138_10155572873447139,It has been alleged that Sasikala had been given a special kitchen and other facilities by the prison staff.,Siddaramaiah orders probe into ‘special facilities’ for Sasikala in jail,0.71,115,14,9,http://timesofindia.indiatimes.com/city/bengaluru/siddaramaiah-orders-probe-into-special-facilities-for-sasikala-in-jail/articleshow/59585799.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.46%,88.00%,0.41
26781952138_10155572879992139,,Video: 713th Urs of Amir Khusro celebrated at Hazrat Nizamuddin Dargah,0.72,344,3,6,http://timesofindia.indiatimes.com/videos/city/delhi/delhi-713th-urs-of-amir-khusro-celebrated-at-hazrat-nizamuddin-dargah/videoshow/59621693.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,36.63%,77.33%,0.36
26781952138_10155572908522139,Interpol has taken responsibility of maintaining a ‘Worst of List’ containing a list of domain names hosting child sexual abuse contents.,Centre mulls jammers in schools to prevent access to porn sites,0.72,117,2,1,http://timesofindia.indiatimes.com/india/child-pornography-centre-proposes-jammers-in-schools/articleshow/59598902.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.78%,79.41%,0.40
26781952138_10155572911597139,The district police stepped up security to prevent further escalation of tension in the village,AIADMK man hacked to death over land dispute; five houses set on fire in retaliation,0.72,68,2,1,http://timesofindia.indiatimes.com/city/chennai/aiadmk-man-hacked-to-death-over-land-dispute-five-houses-set-on-fire-in-retaliation/articleshow/59530012.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,22.41%,83.64%,0.41
26781952138_10155573048887139,Authorities are asked to ensure smooth movement of traffic and security of passengers travelling in vehicles on the National Highway 10,"As violence continues in Darjeeling, Centre to send 4 more CRPF companies",0.73,120,14,5,http://timesofindia.indiatimes.com/city/kolkata/as-violence-continues-in-darjeeling-centre-to-send-4-more-crpf-companies/articleshow/59595926.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,18.63%,87.00%,0.35
26781952138_10155573054322139,Mukul Hazarika is currently settled in London,NIA files chargesheet against London-based Ulfa chairman,0.73,68,3,4,http://timesofindia.indiatimes.com/india/nia-files-chargesheet-against-london-based-ulfa-chairman/articleshow/59607850.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,12.07%,81.13%,0.40
26781952138_10155573091637139,SC gives temporary relief but central rules on cattle trade need outright junking.,TOI Edit | Think consequences,0.73,65,9,2,http://blogs.timesofindia.indiatimes.com/toi-editorials/think-consequences-sc-gives-temporary-relief-but-central-rules-on-cattle-trade-need-outright-junking/?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,18.52%,88.89%,0.39
26781952138_10155573093172139,PETN has been known to be a favourite of al-Qaida which has used it in different bombing attempts across the globe since early 2000.,PETN: A safe explosive that could be set off by mobile phone,0.74,83,5,4,http://timesofindia.indiatimes.com/city/lucknow/petn-a-safe-explosive-that-could-be-set-off-by-mobile-phone/articleshow/59602292.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.81%,85.92%,0.40
26781952138_10155573094507139,"Yes, you read that right.",Records of land worth Rs 300 crore missing in Telangana,0.74,79,10,4,http://timesofindia.indiatimes.com/city/hyderabad/telangana-records-of-rs-300-crore-land-go-missing/articleshow/59571217.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.72%,94.81%,0.38
26781952138_10155573114692139,,"Caught on cam: Cops thrash shopkeeper, threaten him with gun",0.74,74,2,0,http://timesofindia.indiatimes.com/videos/city/hyderabad/caught-on-cam-cops-thrash-shopkeeper-threaten-him-with-gun/videoshow/59626267.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,18.46%,78.69%,0.42
26781952138_10155573140047139,"Vote for India’s Ruhi Singh and make our country win.

Click here to vote https://www.jetsetmag.com/model-search/vote/share/2017/ruhi-singh",Miss Jetset Magazine cover model contest,0.75,42831,30,26,https://www.jetsetmag.com/model-search/vote/share/2017/ruhi-singh,10.83%,86.43%,0.38
26781952138_10155573149587139,,Video: Shutdown in Palghar post terrorist attack on Amarnath pilgrims,0.76,78,5,1,http://timesofindia.indiatimes.com/videos/city/mumbai/shutdown-in-palghar-post-terrorist-attack-on-amarnath-pilgrims/videoshow/59576252.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,15.58%,81.94%,0.39
26781952138_10155573170817139,Kim Jong Un seems uninterested in negotiations until he perfects a nuclear missile capable of striking anywhere in the United States.,North Korea's Kim: Dictator? Reformer? Shrewd negotiator?,0.76,142,32,4,http://timesofindia.indiatimes.com/world/rest-of-world/north-koreas-kim-dictator-reformer-shrewd-negotiator/articleshow/59578222.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,19.38%,91.06%,0.41
26781952138_10155573172577139,"The man had earlier attempted to woo the girl for four months, but she did not respond.",Spurned man creates X-rated Facebook profile of girl,0.77,76,1,2,http://timesofindia.indiatimes.com/city/ahmedabad/spurned-man-creates-x-rated-fb-profile-of-girl/articleshow/59601715.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,18.06%,81.54%,0.38
26781952138_10155573174222139,"TOI Morning Newswrap

* Woman dies on road in Aligarh as police patrol van refuses to help...and more",Video news: All in one minute @ 10am,0.78,55,2,1,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-12-2017/video-news-all-in-one-minute-10am/videoshow/59556065.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,21.28%,76.00%,0.38
26781952138_10155573184167139,"TOI Morning Newswrap

* Assam flood situation worsens, PM Narendra Modi reviews situation...and more",Video news: All in one minute @ 10am,0.78,62,3,0,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-13-2017/video-news-all-in-one-minute-10am/videoshow/59572598.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,8.00%,79.25%,0.40
26781952138_10155573185102139,No one likes visiting hospitals. I am no different. I have even dodged visiting ailing relatives at the hospital as I preferred waiting for them to come back home.,Things I do every time I visit a hospital,0.79,54,0,1,http://timesofindia.indiatimes.com/life-style/health-fitness/health-news/things-i-do-every-time-i-visit-a-hospital/articleshow/59453913.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.78%,69.05%,0.39
26781952138_10155573199097139,,"Video: Leopard creates panic in Rampur town, later captured",0.80,103,0,1,http://timesofindia.indiatimes.com/videos/news/leopard-creates-panic-in-rampur-town-later-captured/videoshow/59589968.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.63%,81.71%,0.41
26781952138_10155573215552139,,How digitally-connected global jihadis may keep ISIS alive - Times of India,0.81,75,17,5,http://timesofindia.indiatimes.com/world/middle-east/islamic-state-built-in-staying-power-with-global-jihadis/articleshow/59541635.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.81%,85.92%,0.39
26781952138_10155573240702139,,"Video: Whale washed ashore Rajodi beach, Virar",0.81,86,4,0,http://timesofindia.indiatimes.com/videos/city/mumbai/watch-whale-washed-ashore-rajodi-beach-virar/videoshow/59580111.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,12.50%,84.42%,0.36
26781952138_10155573243112139,The CM will spend July 8 and 9 in his constituency and on the second day he would bless his disciples,"On Purnima, Yogi to don guru’s mantle",0.82,51,4,0,http://timesofindia.indiatimes.com/city/lucknow/on-purnima-yogi-to-don-gurus-mantle/articleshow/59464626.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,8.70%,79.55%,0.44
26781952138_10155573258417139,,Supreme Court to set up 5-judge Constitution bench to hear whether Aadhar violates privacy,0.83,62,3,4,http://timesofindia.indiatimes.com/india/supreme-court-to-set-up-5-judge-constitution-bench-to-hear-issue-of-whether-aadhar-violates-privacy/articleshow/59557277.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,11.32%,75.00%,0.44
26781952138_10155573262657139,The decision of not allowing any new private liquor vend to come up remains in place.,Eateries can now apply for new liquor licence,0.84,68,2,2,http://timesofindia.indiatimes.com/city/delhi/eateries-can-now-apply-for-new-liquor-licence/articleshow/59552244.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.11%,78.57%,0.35
26781952138_10155573265437139,,Kamya Panjabi clarifies she didn't post any bare back pic; claims her account was hacked - Times of India,0.85,144,5,1,http://timesofindia.indiatimes.com/tv/news/hindi/kamya-panjabi-clarifies-she-didnt-post-any-bare-back-pic-claims-her-account-was-hacked/articleshow/59538740.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,19.38%,73.77%,0.37
26781952138_10155573267472139,"While wives' shop, husbands can retire to the glass-encased kiosks.",Shopping-weary Chinese men find refuge in souped-up man caves,0.85,84,9,1,http://timesofindia.indiatimes.com/world/mad-mad-world/shopping-weary-chinese-find-refuge-in-souped-up-man-caves/articleshow/59629760.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,26.19%,82.28%,0.38
26781952138_10155573275257139,Alarming,"18 Mumbaikars die of TB every day, says study by NGO",0.86,95,2,7,http://timesofindia.indiatimes.com/city/mumbai/18-mumbaikars-die-of-tb-every-day-says-study-by-ngo/articleshow/59570731.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.20%,80.41%,0.37
26781952138_10155573289577139,"The government said the official in charge of the case got transferred, resulting in delay.",SC pulls up Bihar govt for 4-year delay in filing appeal on property dispute,0.87,109,0,4,http://timesofindia.indiatimes.com/india/sc-pulls-up-bihar-govt-for-4-year-delay-in-filing-appeal-on-property-dispute/articleshow/59636931.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,8.60%,86.67%,0.42
26781952138_10155573308182139,The accused reportedly took them to the vendor who had sold him the knife and also to the spot where he had dumped it later.,Police take Junaid case accused along lynching route,0.88,73,5,2,http://timesofindia.indiatimes.com/city/delhi/police-take-junaid-case-accused-along-lynching-route/articleshow/59552238.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,21.43%,74.63%,0.39
26781952138_10155573313422139,,Why cigarette makers are choking today,0.89,125,1,5,http://timesofindia.indiatimes.com/business/india-business/gst-cigarette-makers-choke-itc-worst-hit/articleshow/59644513.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.53%,74.26%,0.38
26781952138_10155573319017139,"If BJP thinks corrupt politicians should not be allowed to continue in office, why wasn’t the same yardstick applied in Gujarat when Narendra Modi was the chief minister, asks Sanjeev Singh",BLOG | Tejashwi Yadav and Narendra Modi’s common playbook on corruption charges,0.89,219,61,11,http://blogs.timesofindia.indiatimes.com/sanjeev-singh-blog/tejashwi-yadav-and-narendra-modis-common-playbook-on-corruption-charges/?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,22.17%,85.71%,0.40
26781952138_10155573320367139,"Amid strain in Bihar alliance, JD(U) leader Sharad Yadav meets Sonia 

Read more: http://toi.in/Ttj5OZ",,0.90,59,4,0,https://www.facebook.com/TimesofIndia/videos/10155610587002139/,19.23%,81.63%,0.41
26781952138_10155573322242139,Even as troubles in the JD(U)-RJD alliance cast a shadow over its deliberations...,Opposition may announce vice presidential candidate today - Times of India,0.91,86,2,0,http://timesofindia.indiatimes.com/india/opposition-may-announce-vice-presidential-candidate-today/articleshow/59536366.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,15.71%,85.29%,0.41
26781952138_10155573330977139,,Video: BJP corporator clashes with cops in Meerut,0.91,85,21,8,http://timesofindia.indiatimes.com/videos/city/lucknow/on-cam-bjp-corporator-clashes-with-cops-in-meerut/videoshow/59476309.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,28.24%,89.77%,0.41
26781952138_10155573331207139,,"Assam flood: 4 more dead, toll touches 73",0.91,72,4,4,http://timesofindia.indiatimes.com/city/guwahati/assam-flood-4-more-dead-toll-touches-73/articleshow/59669288.cms?utm_source=facebook.com&utm_medium=referral&utm_term=a&utm_campaign=TOI&utm_content=om-bm,17.05%,84.44%,0.40
26781952138_10155573363047139,"""Retailers are worried that transactions authenticated through PoS may not be feasible.""",300 retailers quit as sale of fertiliser linked to Aadhaar,0.93,160,5,7,http://timesofindia.indiatimes.com/india/300-retailers-quit-after-sale-of-aadhaar-linked-subsidised-fertiliser/articleshow/59519899.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,13.53%,91.85%,0.39
26781952138_10155573363462139,"During the procession, a group of men blasted crackers and threw a cracker onto a grocery shop premises post which a fight ensued","Funeral procession turns violent in Salem, vehicles damaged",0.94,79,1,1,http://timesofindia.indiatimes.com/city/salem/funeral-procession-turns-violent-in-salem-vehicles-damaged/articleshow/59519502.cms?%3Futm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,18.33%,78.69%,0.38
26781952138_10155573372522139,,"US Army soldier charged in killing of wife, NY state trooper after domestic dispute | News- Times of India Videos",0.94,97,1,1,http://timesofindia.indiatimes.com/videos/news/us-army-soldier-charged-in-killing-of-wife-ny-state-trooper-after-domestic-dispute/videoshow/59538779.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.10%,72.60%,0.37
26781952138_10155573374222139,"Investigations revealed that the deceased, Mariadoss and Kumar, were murdered when they were in an inebriated condition",Two friends found dead near liquor shop in Tamil Nadu,0.94,82,2,1,http://timesofindia.indiatimes.com/city/chennai/two-friends-found-dead-near-liquor-shop-in-tamil-nadu/articleshow/59514546.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,21.92%,80.60%,0.37
26781952138_10155573379312139,,Caught on cam: 3 armed men loot Rs 10 lakh from dairy booth in Delhi | City- Times of India Videos,0.95,92,5,3,http://timesofindia.indiatimes.com/videos/city/delhi/caught-on-cam-3-armed-men-loot-rs-10-lakh-from-dairy-booth-in-delhi/videoshow/59541245.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.67%,80.82%,0.43
26781952138_10155573385992139,"When contacted, a spokesperson for Jio said data being put out appears to be ""unauthentic"".",Was Reliance Jio's customer information hacked? - Times of India,0.95,103,7,3,http://timesofindia.indiatimes.com/business/india-business/was-reliance-jios-customer-information-hacked/articleshow/59536806.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,13.10%,79.07%,0.39
26781952138_10155573398717139,Do you agree?,Reports of depression among IT professionals exaggerated: Mohandas Pai,0.96,88,29,1,http://timesofindia.indiatimes.com/business/india-business/reports-of-depression-among-it-professionals-exaggerated-says-industry-veteran/articleshow/59647270.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.34%,86.90%,0.40
26781952138_10155573413737139,"Like all other things, there are a few dos and don'ts for writing emails too!",10 email habits that may make people 'hate' you,0.97,112,1,3,http://www.gadgetsnow.com/slideshows/10-email-habits-that-may-make-people-hate-you/photolist/57707637.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.29%,72.92%,0.38
26781952138_10155573416327139,,Narrow escape for former Uttarakhand chief minister,0.97,52,1,1,http://timesofindia.indiatimes.com/city/dehradun/narrow-escape-for-former-uttarakhand-chief-minister/articleshow/59474266.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.50%,80.49%,0.44
26781952138_10155573416542139,"The death toll in flood ravaged Assam, Manipur and Arunachal Pradesh crossed 85 as there is no respite from incessant rains",Photos: Floods wreak havoc in Northeast,0.97,96,5,8,http://photogallery.indiatimes.com/news/india/floods-wreak-havoc-in-northeast/articleshow/59593768.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.67%,86.05%,0.40
26781952138_10155573433707139,The refusal comes despite the Bombay HC pulling up the ministry for its unreasonable decision,Govt denies visa certificate to doctor for US research,0.97,103,4,3,http://timesofindia.indiatimes.com/india/govt-denies-visa-certificate-to-doctor-for-us-research/articleshow/59658004.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.11%,83.51%,0.40
26781952138_10155573445922139,,Video: Sidharth gets extra cautious for ‘A Gentleman’ after ‘Baar Baar Dekho’ debacle,0.98,85,0,0,http://timesofindia.indiatimes.com/videos/entertainment/hindi/sidharth-gets-extra-cautious-for-a-gentleman-after-baar-baar-dekho-debacle/videoshow/59461014.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,25.68%,74.32%,0.38
26781952138_10155573458922139,,Video: TMC leader booked for making derogatory comments against Roopa Ganguly,0.98,97,2,1,http://timesofindia.indiatimes.com/videos/city/kolkata/tmc-leader-booked-for-making-derogatory-comments-against-roopa-ganguly/videoshow/59659870.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,6.25%,79.55%,0.39
26781952138_10155573536887139,The house is designed to be a mobile clothing boutique,"Thieves go big, steal tiny home in Missouri",0.98,58,0,2,http://timesofindia.indiatimes.com/world/us/thieves-go-big-steal-tiny-home-in-missouri/articleshow/59564301.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,8.33%,86.67%,0.39
26781952138_10155573540587139,,Pakistan summons India's deputy high commissioner for second day,0.98,276,52,7,http://timesofindia.indiatimes.com/world/pakistan/pakistan-summons-indias-deputy-high-commissioner-for-second-day/articleshow/59513480.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,14.29%,93.29%,0.39
