id,post_message,link_title,affluence_index,likes,comments,shares,link,muslim_prop,male_prop,age_index
26781952138_10155583022712139,,"Airtel, Vodafone and Idea's this demand to Trai will increase your mobile bills",1.59,305,10,15,http://www.gadgetsnow.com/tech-news/airtel-vodafone-and-ideas-this-demand-to-trai-will-increase-your-mobile-bills/articleshow/59650326.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.10%,91.39%,0.36
26781952138_10155583034422139,Here's why,Mohammad Shami becomes victim of social media trolls once again,1.59,148,4,3,http://timesofindia.indiatimes.com/sports/off-the-field/mohammad-shami-becomes-victim-of-social-media-trolls-once-again/articleshow/59666868.cms?utm_source=facebook.com&utm_medium=referral&utm_term=a&utm_campaign=TOI&utm_content=om-bm,20.87%,89.37%,0.36
26781952138_10155583048012139,,Caught on cam: Man shot dead by three assailants in West Delhi,1.59,77,4,0,http://timesofindia.indiatimes.com/videos/city/delhi/caught-on-cam-man-shot-dead-by-three-assailants-in-west-delhi/videoshow/59555963.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.22%,84.00%,0.38
26781952138_10155583063917139,"Besides testing the new equipment, the exercises involve conducting live firing exercises.",Sikkim stand-off: China conducts drills simulating battle scenarios,1.59,1204,121,50,http://timesofindia.indiatimes.com/world/china/chinese-army-conducting-exercises-simulating-battle-scenarios/articleshow/59476001.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,12.93%,91.59%,0.38
26781952138_10155583069647139,,Video: Salman Khan's brother-in-law Aayush Sharma to pair up with Mouni Roy?,1.59,638,8,1,http://timesofindia.indiatimes.com/videos/entertainment/hindi/salman-khans-brother-in-law-aayush-sharma-to-pair-up-with-mouni-roy/videoshow/59461003.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.99%,60.00%,0.36
26781952138_10155583136312139,"Ninety years after the Revolt, as India became independent amid Partition in 1947, Delhi suffered again, this time irreversibly.",Delhi 1857 to Mosul 2017: Lessons in war and peace,1.59,56,3,5,http://timesofindia.indiatimes.com/city/delhi/delhi-1857-to-mosul-2017-lessons-in-war-and-peace/articleshow/59497220.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.91%,81.48%,0.38
26781952138_10155583144267139,,Why IS fighters are being thrown off buildings in Mosul,1.60,222,14,2,http://timesofindia.indiatimes.com/world/middle-east/why-is-fighters-are-being-thrown-off-buildings-in-mosul/articleshow/59650121.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.79%,88.44%,0.36
26781952138_10155583176312139,"""There is nothing serious about low blood pressure. You should be thankful it isn't high blood pressure.""",Should you be worried about low blood pressure?,1.60,149,7,13,http://timesofindia.indiatimes.com/life-style/health-fitness/health-news/should-you-be-worried-about-low-blood-pressure/articleshow/59560794.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,12.17%,61.98%,0.38
26781952138_10155583199547139,"Daniel Markey, a US expert, said that Pakistan is still supporting its proxies in Afghanistan.",Pakistan's strategy of using terror proxies costly',1.60,480,85,26,http://timesofindia.indiatimes.com/world/pakistan/pakistans-strategy-of-using-terror-proxies-costly-ineffective/articleshow/59486993.cms?utm_source=facebook.com&utm_medium=referral&utm_term=b&utm_campaign=TOI&utm_content=om-bm,9.63%,92.92%,0.38
26781952138_10155584240167139,,G-20 clashes leave dozens of officers and activists injured,1.60,134,4,2,http://timesofindia.indiatimes.com/world/europe/g-20-clashes-leave-dozens-of-officers-and-activists-injured/articleshow/59495570.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.95%,81.42%,0.37
26781952138_10155584261492139,,Video: Speeding car kills 3 children in Amroha,1.60,72,2,2,http://timesofindia.indiatimes.com/videos/city/lucknow/amroha-speeding-car-kills-3-children-1-injured/videoshow/59616270.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,21.43%,76.19%,0.37
26781952138_10155584263267139,"The substance recovered from the UP Assembly yesterday is PETN, a very powerful explosive, the forensic report said.","Explosive recovered from UP Assembly, Yogi Adityanath claims 'terror conspiracy'",1.60,410,75,24,http://timesofindia.indiatimes.com/india/explosive-recovered-from-up-assembly-yogi-adityanath-claims-terror-conspiracy/articleshow/59590886.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,11.49%,90.69%,0.39
26781952138_10155584273527139,"Trump: I get along 'very, very well' with Putin

Read more at http://toi.in/AlotGb",,1.60,56,0,4,https://www.facebook.com/TimesofIndia/videos/10155599795422139/,10.00%,90.00%,0.41
26781952138_10155584301867139,,Two jawans martyred in Pakistani sniper fire,1.60,483,101,12,http://timesofindia.indiatimes.com/india/two-jawans-killed-in-pakistani-sniper-fire/articleshow/59571502.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,18.25%,94.41%,0.37
26781952138_10155584321812139,Revealing some unknown facts about Alok Nath,Unknown facts about Alok Nath :::Bombay Times - Times of India::,1.61,137,2,0,http://www.bombaytimes.com/celebs/unknown-facts-about-alok-nath/photostory/59525506.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,19.66%,73.68%,0.39
26781952138_10155584333072139,,Earth Care Awards,0.42,34,0,0,https://www.facebook.com/earth.care.awards/photos/a.340856875939413.83316.338791202812647/1692204074138013/?type=3,18.52%,69.23%,0.40
26781952138_10155584337282139,,Video: Islamic preacher Zakir Naik's passport revoked,1.61,544,138,23,http://timesofindia.indiatimes.com/videos/news/islamic-preacher-zakir-naiks-passport-revoked/videoshow/59651846.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,19.15%,87.25%,0.39
26781952138_10155584404082139,Reactions?,Irfan Pathan slammed by fanatics for posting a picture with wife,1.61,854,176,24,http://timesofindia.indiatimes.com/viral-news/irfan-pathan-slammed-by-fanatics-for-posting-a-picture-with-wife/articleshow/59649728.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,19.83%,76.62%,0.38
